Name,IE_CP,CPUtime
04_28_cam.out,1.3676584811155378e-05,19661.0
04_29_cam.out,0.00036476795532749,36374.0
04_30_cam.out,0.0003851907416334661,47519.0
04_31_cam.out,9.448791705179283e-06,24459.0
04_32_cam.out,-0.00042442251567649406,23655.0
04_33_cam.out,-0.00015511993497848608,41693.0
05_07_cam.out,9.086759372111554e-06,27022.0
05_08_cam.out,8.068593831075698e-05,22242.0
05_09_cam.out,3.35903172e-05,67031.0
05_10_cam.out,1.786057349003984e-05,21256.0
05_11_cam.out,3.7644040624701195e-05,20799.0
05_12_cam.out,0.00011487686759362551,26705.0
05_13_cam.out,0.00010777824431553784,22983.0
05_14_cam.out,2.05791699123506e-06,20407.0
05_15_cam.out,9.968150352191235e-06,35010.0
05_16_cam.out,-9.827989190438248e-06,26144.0
05_17_cam.out,2.1124928634262948e-05,33342.0
05_18_cam.out,-6.747569371633466e-05,42379.0
05_19_cam.out,8.081193880478087e-07,31578.0
05_21_cam.out,-8.888080119840637e-05,37273.0
05_22_cam.out,-1.1180973705179284e-06,26313.0
05_23_cam.out,2.059072089880478e-05,21298.0
05_24_cam.out,-9.616979300398406e-05,30150.0
05_25_cam.out,-2.1985983920318727e-06,31877.0
05_26_cam.out,1.5096782677290836e-06,29238.0
05_27_cam.out,6.33155687187251e-05,21362.0
05_28_cam.out,1.9536080839840638e-05,23035.0
05_29_cam.out,0.0002706868639011952,36088.0
05_30_cam.out,0.0003480886559378486,38591.0
05_31_cam.out,1.3006526983266932e-05,24263.0
05_32_cam.out,-0.0003488570630055777,46881.0
05_33_cam.out,0.0003063464483043825,24744.0
06_07_cam.out,0.0001450556343505976,25275.0
06_08_cam.out,-8.151644888764939e-05,26031.0
06_09_cam.out,-5.643239752828686e-05,33942.0
06_10_cam.out,-1.7625074245418327e-05,21674.0
06_11_cam.out,-3.71111630438247e-05,80310.0
06_12_cam.out,-6.72839538756972e-05,22268.0
06_13_cam.out,-0.00010245759724462151,22812.0
06_14_cam.out,-5.165901941035857e-06,24643.0
06_15_cam.out,-6.933728945019921e-06,14543.0
06_16_cam.out,-2.448229465816733e-05,28107.0
06_17_cam.out,-3.918041796812749e-05,29367.0
06_18_cam.out,-7.596297902629482e-05,39548.0
06_19_cam.out,-3.649102449721115e-05,35982.0
06_21_cam.out,0.00025312959646693226,36285.0
06_22_cam.out,3.710495360318725e-05,27515.0
06_23_cam.out,-2.749411409880478e-05,20604.0
06_24_cam.out,0.00010944470342151395,27961.0
06_25_cam.out,-1.676711902310757e-05,42555.0
06_26_cam.out,4.8038601499601595e-05,30467.0
06_27_cam.out,-8.244535940876494e-05,18460.0
